Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
Q4J894	reviewed	tRNA (adenine(9)-N1)-methyltransferase (EC 2.1.1.218) (tRNA(m1A9)-methyltransferase) (tRNA(m1A9)MTase)	Saci_1677	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	292	cytoplasm [GO:0005737]; tRNA (adenine(9)-N1)-methyltransferase activity [GO:0160106]; tRNA methylation [GO:0030488]; tRNA processing [GO:0008033]	tRNA methylation [GO:0030488]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]	tRNA (adenine(9)-N1)-methyltransferase activity [GO:0160106]	GO:0005737; GO:0008033; GO:0030488; GO:0160106
Q4J8F1	reviewed	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG Saci_1617	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	391	cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; argininosuccinate metabolic process [GO:0000053]; L-arginine biosynthetic process [GO:0006526]; urea cycle [GO:0000050]	argininosuccinate metabolic process [GO:0000053]; L-arginine biosynthetic process [GO:0006526]; urea cycle [GO:0000050]	cytoplasm [GO:0005737]	argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]	GO:0000050; GO:0000053; GO:0004055; GO:0005524; GO:0005737; GO:0006526
Q4J8F7	unreviewed	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF-1 purF Saci_1611	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	444	4 iron, 4 sulfur cluster binding [GO:0051539]; amidophosphoribosyltransferase activity [GO:0004044]; magnesium ion binding [GO:0000287]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]	'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]		4 iron, 4 sulfur cluster binding [GO:0051539]; amidophosphoribosyltransferase activity [GO:0004044]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004044; GO:0006189; GO:0009113; GO:0051539
Q4J8F8	reviewed	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL Saci_1610	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	710	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]	'de novo' IMP biosynthetic process [GO:0006189]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]	GO:0000287; GO:0004642; GO:0005524; GO:0005737; GO:0006189
Q4J8G3	unreviewed	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Archaeosine biosynthesis protein QueE)	queE Saci_1604	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	211	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-nitrogen lyase activity [GO:0016840]; magnesium ion binding [GO:0000287]; S-adenosyl-L-methionine binding [GO:1904047]			4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-nitrogen lyase activity [GO:0016840]; magnesium ion binding [GO:0000287]; S-adenosyl-L-methionine binding [GO:1904047]	GO:0000287; GO:0016840; GO:0051539; GO:1904047
Q4J8I4	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS Saci_1584	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	458	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]	GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260
Q4J8I5	reviewed	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH Saci_1581	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	199	cytoplasm [GO:0005737]; glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]; L-histidine biosynthetic process [GO:0000105]	L-histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	GO:0000105; GO:0000107; GO:0004359; GO:0005737; GO:0016829
Q4J8I8	reviewed	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD Saci_1579	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	393	cytoplasm [GO:0005737]; histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; L-histidine biosynthetic process [GO:0000105]	L-histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]	GO:0000105; GO:0004399; GO:0005737; GO:0008270; GO:0051287
Q4J8I9	reviewed	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF Saci_1578	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	249	cytoplasm [GO:0005737]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]; L-histidine biosynthetic process [GO:0000105]	L-histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	GO:0000105; GO:0000107; GO:0005737; GO:0016829
Q4J8J2	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Saci_1575	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	285	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]; L-histidine biosynthetic process [GO:0000105]	L-histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]	GO:0000105; GO:0000287; GO:0003879; GO:0005524; GO:0005737
Q4J8J9	reviewed	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speH Saci_1568	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	122	cytosol [GO:0005829]; adenosylmethionine decarboxylase activity [GO:0004014]; spermidine biosynthetic process [GO:0008295]	spermidine biosynthetic process [GO:0008295]	cytosol [GO:0005829]	adenosylmethionine decarboxylase activity [GO:0004014]	GO:0004014; GO:0005829; GO:0008295
Q4J8K7	unreviewed	Acetolactate synthase (EC 2.2.1.6)	Saci_1561	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	572	acetolactate synthase complex [GO:0005948]; 2-oxobutyrate synthase activity [GO:0018491]; 2-oxoglutarate synthase activity [GO:0047553]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; pyruvate synthase activity [GO:0019164]; thiamine pyrophosphate binding [GO:0030976]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]	2-oxobutyrate synthase activity [GO:0018491]; 2-oxoglutarate synthase activity [GO:0047553]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; pyruvate synthase activity [GO:0019164]; thiamine pyrophosphate binding [GO:0030976]	GO:0000287; GO:0003984; GO:0005948; GO:0009097; GO:0009099; GO:0018491; GO:0019164; GO:0030976; GO:0047553; GO:0050660
Q4J8K8	reviewed	Holliday junction branch migration ATPase PINA (PIN domain-containing ATPase) (PINA) (EC 3.6.4.12)	pina Saci_1557	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	510	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]	GO:0003677; GO:0005524; GO:0006281; GO:0006310; GO:0016887
Q4J8L2	reviewed	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT Saci_1556	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	200	cytosol [GO:0005829]; glutaminase complex [GO:1903600]; glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; glutamine catabolic process [GO:0006543]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine metabolic process [GO:0008614]	glutamine catabolic process [GO:0006543]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine metabolic process [GO:0008614]	cytosol [GO:0005829]; glutaminase complex [GO:1903600]	glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]	GO:0004359; GO:0005829; GO:0006543; GO:0008614; GO:0036381; GO:0042823; GO:1903600
Q4J8L3	reviewed	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)	pdxS Saci_1555	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	336	pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]		pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]	GO:0006520; GO:0008615; GO:0036381; GO:0042823
Q4J8L9	reviewed	A-type ATP synthase subunit A (EC 7.1.2.2)	atpA Saci_1548	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	592	plasma membrane [GO:0005886]; proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	plasma membrane [GO:0005886]; proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	GO:0005524; GO:0005886; GO:0016887; GO:0033178; GO:0042777; GO:0046933; GO:0046961
Q4J8M3	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG Saci_1544	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	571	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; methionyl-tRNA aminoacylation [GO:0006431]	methionyl-tRNA aminoacylation [GO:0006431]	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]	GO:0004825; GO:0005524; GO:0005829; GO:0006431; GO:0017101; GO:0046872
Q4J8M6	unreviewed	Archaetidylinositol phosphate synthase (AIP synthase) (EC 2.7.8.39)	Saci_1541	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	192	plasma membrane [GO:0005886]; magnesium ion binding [GO:0000287]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]	phospholipid biosynthetic process [GO:0008654]	plasma membrane [GO:0005886]	magnesium ion binding [GO:0000287]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]	GO:0000287; GO:0005886; GO:0008654; GO:0016780
Q4J8P1	reviewed	Large ribosomal subunit protein eL8 (50S ribosomal protein L7Ae) (Ribosomal protein L8e)	rpl7ae Saci_1520	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	126	cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ribonuclease P activity [GO:0004526]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosome biogenesis [GO:0042254]; translation [GO:0006412]; tRNA 5'-leader removal [GO:0001682]	ribosome biogenesis [GO:0042254]; translation [GO:0006412]; tRNA 5'-leader removal [GO:0001682]	cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	ribonuclease P activity [GO:0004526]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0001682; GO:0003735; GO:0004526; GO:0005737; GO:0005840; GO:0006412; GO:0019843; GO:0042254; GO:1990904
Q4J8P6	unreviewed	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map Saci_1513	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	299	cytoplasm [GO:0005737]; initiator methionyl aminopeptidase activity [GO:0004239]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]; proteolysis [GO:0006508]	proteolysis [GO:0006508]	cytoplasm [GO:0005737]	initiator methionyl aminopeptidase activity [GO:0004239]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]	GO:0004239; GO:0005737; GO:0006508; GO:0046872; GO:0070006
Q4J8P9	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS Saci_1511	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	465	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]	phenylalanyl-tRNA aminoacylation [GO:0006432]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432
Q4J8Q0	reviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT Saci_1510	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	542	phenylalanine-tRNA ligase complex [GO:0009328]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]; phenylalanyl-tRNA aminoacylation [GO:0006432]	phenylalanyl-tRNA aminoacylation [GO:0006432]	phenylalanine-tRNA ligase complex [GO:0009328]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]	GO:0000287; GO:0003723; GO:0004826; GO:0005524; GO:0006432; GO:0009328
Q4J8S2	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE Saci_1481	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	209	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTP cyclohydrolase I activity [GO:0003934]; zinc ion binding [GO:0008270]; one-carbon metabolic process [GO:0006730]; tetrahydrobiopterin biosynthetic process [GO:0006729]; tetrahydrofolate biosynthetic process [GO:0046654]	one-carbon metabolic process [GO:0006730]; tetrahydrobiopterin biosynthetic process [GO:0006729]; tetrahydrofolate biosynthetic process [GO:0046654]	cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTP cyclohydrolase I activity [GO:0003934]; zinc ion binding [GO:0008270]	GO:0003934; GO:0005525; GO:0005737; GO:0006729; GO:0006730; GO:0008270; GO:0046654
Q4J8T0	reviewed	Probable GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA Saci_1479	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	313	4 iron, 4 sulfur cluster binding [GO:0051539]; cyclic pyranopterin monophosphate synthase activity [GO:0061799]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		4 iron, 4 sulfur cluster binding [GO:0051539]; cyclic pyranopterin monophosphate synthase activity [GO:0061799]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]	GO:0005525; GO:0006777; GO:0046872; GO:0051539; GO:0061798; GO:0061799; GO:1904047
Q4J8X1	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS Saci_1430	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	831	cytosol [GO:0005829]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832]; valyl-tRNA aminoacylation [GO:0006438]	valyl-tRNA aminoacylation [GO:0006438]	cytosol [GO:0005829]	aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832]	GO:0002161; GO:0004832; GO:0005524; GO:0005829; GO:0006438
Q4J8X2	reviewed	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC Saci_1428	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	400	cytoplasm [GO:0005737]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]	amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]	cytoplasm [GO:0005737]	L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]	GO:0004069; GO:0005737; GO:0006520; GO:0009058; GO:0030170
Q4J8Y0	unreviewed	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB1 trpB Saci_1421	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	424	cytoplasm [GO:0005737]; L-serine hydro-lyase (adding indole, L-tryptophan-forming) activity [GO:0052684]; pyridoxal phosphate binding [GO:0030170]; tryptophan synthase activity [GO:0004834]		cytoplasm [GO:0005737]	L-serine hydro-lyase (adding indole, L-tryptophan-forming) activity [GO:0052684]; pyridoxal phosphate binding [GO:0030170]; tryptophan synthase activity [GO:0004834]	GO:0004834; GO:0005737; GO:0030170; GO:0052684
Q4J8Y7	unreviewed	Threonine synthase (EC 4.2.3.1)	Saci_1413	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	392	L-serine ammonia-lyase activity [GO:0003941]; pyridoxal phosphate binding [GO:0030170]; threonine deaminase activity [GO:0004794]; threonine synthase activity [GO:0004795]; isoleucine biosynthetic process [GO:0009097]; L-serine catabolic process [GO:0006565]; threonine biosynthetic process [GO:0009088]; threonine catabolic process [GO:0006567]	isoleucine biosynthetic process [GO:0009097]; L-serine catabolic process [GO:0006565]; threonine biosynthetic process [GO:0009088]; threonine catabolic process [GO:0006567]		L-serine ammonia-lyase activity [GO:0003941]; pyridoxal phosphate binding [GO:0030170]; threonine deaminase activity [GO:0004794]; threonine synthase activity [GO:0004795]	GO:0003941; GO:0004794; GO:0004795; GO:0006565; GO:0006567; GO:0009088; GO:0009097; GO:0030170
Q4J8Z2	reviewed	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argF Saci_1408	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	306	cytoplasm [GO:0005737]; amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]; arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]; L-arginine biosynthetic process [GO:0006526]	arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]; L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]	amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]	GO:0004585; GO:0005737; GO:0006526; GO:0016597; GO:0019240; GO:0042450
Q4J920	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno Saci_1377	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	416	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986
Q4J923	reviewed	Cell division protein A	cdvA Saci_1374	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	238	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; plasma membrane [GO:0005886]; cell division [GO:0051301]	cell division [GO:0051301]	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; plasma membrane [GO:0005886]		GO:0005737; GO:0005886; GO:0009295; GO:0051301
Q4J924	reviewed	Cell division protein B (ESCRT-III homolog)	cdvB Saci_1373	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	261	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; cell division [GO:0051301]	cell division [GO:0051301]	cytoplasm [GO:0005737]; nucleoid [GO:0009295]		GO:0005737; GO:0009295; GO:0051301
Q4J932	reviewed	Arginine decarboxylase proenzyme (ADC) (ArgDC) (EC 4.1.1.19) (Pyruvoyl-dependent arginine decarboxylase) [Cleaved into: Arginine decarboxylase beta chain; Arginine decarboxylase alpha chain]	Saci_1363	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	130	cytosol [GO:0005829]; arginine decarboxylase activity [GO:0008792]; arginine catabolic process [GO:0006527]; polyamine biosynthetic process [GO:0006596]	arginine catabolic process [GO:0006527]; polyamine biosynthetic process [GO:0006596]	cytosol [GO:0005829]	arginine decarboxylase activity [GO:0008792]	GO:0005829; GO:0006527; GO:0006596; GO:0008792
Q4J933	reviewed	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (HMGCS) (EC 2.3.3.10)	Saci_1362	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	348	acetyl-CoA C-acetyltransferase activity [GO:0003985]; hydroxymethylglutaryl-CoA synthase activity [GO:0004421]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]		acetyl-CoA C-acetyltransferase activity [GO:0003985]; hydroxymethylglutaryl-CoA synthase activity [GO:0004421]	GO:0003985; GO:0004421; GO:0010142; GO:0019287
Q4J937	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.-)	glyA Saci_1358	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	433	cytoplasm [GO:0005737]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]	glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]	cytoplasm [GO:0005737]	glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]	GO:0004372; GO:0005737; GO:0019264; GO:0030170; GO:0035999
